customer_id,first_name,last_name,gender,date_of_birth,email,phone,city,state,occupation,customer_segment,kyc_status,risk_rating,created_date
CUST000001,Daksh,Bakshi,Male,1996-05-13,daksh.bakshi760@gmail.com,1819600133,Mumbai,Maharashtra,Business Owner,Retail,Completed,Low,2022-09-26
CUST000002,Hardik,Saini,Male,1971-11-16,hardik.saini433@gmail.com,2654235116,Ahmedabad,Gujarat,Software Engineer,Retail,Completed,Low,2024-06-16
CUST000003,Kevin,Bassi,Male,1995-10-23,kevin.bassi204@gmail.com,1849593103,Kolkata,West Bengal,Retired,Retail,Completed,Low,2024-03-11
CUST000004,Daksha,Rai,Female,1974-07-30,daksha.rai778@gmail.com,2553419283,Mumbai,Maharashtra,Teacher,Retail,Completed,Low,2024-09-09
CUST000005,Lopa,Kanda,Female,1993-09-09,lopa.kanda95@gmail.com,3056413953,Mumbai,Maharashtra,Sales Executive,Retail,Completed,Low,2025-09-22
CUST000006,Ekbal,Lanka,Male,1968-01-28,ekbal.lanka550@gmail.com,9696532871,Jaipur,Rajasthan,Doctor,Premium,Completed,Low,2025-03-28
CUST000007,Gauri,Sami,Female,1989-07-17,gauri.sami197@gmail.com,8480184514,Ahmedabad,Gujarat,Retired,Retail,Completed,Medium,2023-06-08
CUST000008,Aarav,Lall,Male,2007-03-11,aarav.lall888@gmail.com,4893252880,Bengaluru,Karnataka,Doctor,Retail,Completed,Medium,2025-04-28
CUST000009,Aditya,Choudhury,Male,2005-03-06,aditya.choudhury364@gmail.com,3039117182,Hyderabad,Telangana,Lawyer,Retail,Completed,Low,2025-11-27
CUST000010,Fitan,Lanka,Male,1986-04-25,fitan.lanka651@gmail.com,8346578713,Ahmedabad,Gujarat,Teacher,Retail,Completed,Low,2024-07-18
CUST000011,Aishani,Karpe,Female,1989-03-03,aishani.karpe225@gmail.com,3105183473,Kolkata,West Bengal,Student,Retail,Completed,Low,2021-07-19
CUST000012,Warjas,Kibe,Male,1998-05-22,warjas.kibe411@gmail.com,1165667010,Hyderabad,Telangana,Business Owner,Retail,Completed,Low,2025-07-20
